age,income,loan_amount,employment,education,property_area,loan_status
43,51538.78,10009.65,Employed,Graduate,Semiurban,1
37,41284.31,14338.86,Employed,Graduate,Urban,1
44,51478.47,10735.68,Employed,Graduate,Rural,0
53,60920.15,11984.12,Self-Employed,Not Graduate,Rural,0
36,49988.29,26091.92,Employed,Graduate,Urban,1
36,49823.23,22838.08,Self-Employed,Not Graduate,Rural,0
54,37019.62,7943.96,Employed,Graduate,Urban,0
46,37603.02,18618.16,Self-Employed,Not Graduate,Rural,0
33,27971.96,18482.11,Self-Employed,Graduate,Rural,0
43,98699.06,8439.64,Employed,Graduate,Rural,1
33,29805.69,18536.76,Employed,Graduate,Semiurban,1
33,37154.42,24715.18,Employed,Graduate,Semiurban,0
40,36777.34,8526.91,Unemployed,Not Graduate,Semiurban,0
21,70120.45,9255.74,Employed,Graduate,Urban,1
21,43565.47,20071.67,Unemployed,Not Graduate,Urban,0
32,80748.67,14892.28,Employed,Graduate,Rural,1
28,37444.07,16657.08,Self-Employed,Graduate,Semiurban,1
41,54808.34,15309.6,Self-Employed,Graduate,Semiurban,1
29,35096.66,15619.55,Self-Employed,Graduate,Semiurban,0
24,115619.47,7858.97,Unemployed,Not Graduate,Urban,0
53,30484.1,20311.19,Employed,Graduate,Rural,0
36,55488.35,21329.28,Employed,Not Graduate,Rural,0
39,63165.32,12188.45,Self-Employed,Not Graduate,Urban,0
24,57844.85,13129.4,Self-Employed,Graduate,Urban,1
33,45518.99,7241.31,Employed,Graduate,Semiurban,1
39,46540.2,16410.91,Employed,Not Graduate,Urban,1
26,49887.44,16794.77,Employed,Not Graduate,Urban,0
42,46221.45,13031.48,Employed,Not Graduate,Urban,0
32,72081.42,20946.8,Employed,Graduate,Semiurban,1
35,118682.74,11688.6,Employed,Not Graduate,Rural,1
32,39222.4,16744.79,Self-Employed,Graduate,Rural,0
57,28341.4,8885.13,Employed,Not Graduate,Semiurban,0
38,47319.95,13234.46,Employed,Not Graduate,Urban,0
27,137569.39,12459.74,Employed,Graduate,Rural,1
46,35544.13,14619.67,Employed,Graduate,Urban,1
26,94433.08,11524.02,Self-Employed,Graduate,Urban,1
40,95901.83,12675.31,Unemployed,Graduate,Semiurban,1
21,39283.69,18590.74,Employed,Not Graduate,Semiurban,0
25,61549.27,11218.22,Self-Employed,Graduate,Urban,1
40,94029.01,7025.97,Self-Employed,Graduate,Rural,0
45,42122.99,26898.71,Self-Employed,Graduate,Rural,0
40,45187.14,23215.64,Employed,Not Graduate,Urban,1
37,38844.73,7967.25,Unemployed,Graduate,Urban,1
35,32666.24,17604.03,Employed,Graduate,Urban,1
23,37808.49,10925.01,Employed,Graduate,Urban,1
31,30044.17,14844.65,Employed,Not Graduate,Semiurban,0
33,49693.7,15028.29,Employed,Not Graduate,Urban,1
49,36026.52,12164.01,Employed,Graduate,Urban,0
41,53826.13,9764.35,Employed,Graduate,Rural,1
21,26308.35,10135.34,Employed,Graduate,Semiurban,0
41,55957.74,9260.59,Self-Employed,Graduate,Urban,1
34,68419.39,9578.45,Self-Employed,Graduate,Urban,1
31,22081.73,13005.51,Employed,Not Graduate,Urban,0
44,56932.56,10033.61,Self-Employed,Graduate,Semiurban,0
48,80102.92,17550.2,Self-Employed,Not Graduate,Rural,1
47,30216.51,24219.14,Self-Employed,Graduate,Semiurban,1
30,95705.3,10593.32,Employed,Not Graduate,Semiurban,1
35,57965.75,14702.34,Self-Employed,Not Graduate,Semiurban,0
41,36974.92,16315.55,Unemployed,Graduate,Rural,0
48,47939.37,16135.88,Self-Employed,Graduate,Rural,1
33,61287.47,13771.85,Employed,Graduate,Urban,1
36,50534.03,17981.04,Employed,Graduate,Semiurban,1
27,60809.57,16202.16,Employed,Graduate,Rural,1
26,33919.0,8143.17,Employed,Graduate,Urban,1
46,52456.75,18914.09,Employed,Not Graduate,Rural,0
52,27847.94,19051.79,Employed,Graduate,Urban,1
37,46887.65,9844.67,Self-Employed,Not Graduate,Rural,1
48,34147.24,13564.01,Self-Employed,Graduate,Rural,0
42,36526.31,17559.17,Employed,Not Graduate,Rural,0
32,80373.3,12286.72,Unemployed,Graduate,Semiurban,0
42,75850.84,20520.74,Employed,Not Graduate,Urban,1
53,62545.86,34390.96,Self-Employed,Graduate,Rural,1
38,31668.41,9755.69,Self-Employed,Graduate,Rural,1
54,43193.13,7689.28,Self-Employed,Graduate,Rural,1
21,79637.4,15086.08,Unemployed,Graduate,Semiurban,0
46,51879.9,17829.77,Employed,Graduate,Rural,1
39,123962.18,12181.25,Self-Employed,Graduate,Rural,1
35,57372.89,23892.13,Employed,Graduate,Urban,1
39,52934.98,7820.92,Self-Employed,Not Graduate,Semiurban,0
21,43319.29,17626.65,Self-Employed,Graduate,Rural,1
36,51710.51,10484.53,Self-Employed,Graduate,Semiurban,1
42,46120.47,26575.66,Employed,Not Graduate,Urban,0
53,65071.6,29643.74,Self-Employed,Graduate,Urban,1
33,71874.8,9831.41,Employed,Graduate,Rural,1
30,35796.46,10723.33,Employed,Graduate,Semiurban,0
33,28782.04,18841.84,Self-Employed,Not Graduate,Rural,0
47,23517.92,11443.16,Employed,Not Graduate,Semiurban,0
41,60065.84,13119.24,Self-Employed,Not Graduate,Rural,0
33,31528.69,13496.09,Employed,Graduate,Rural,0
43,20719.77,6198.92,Employed,Not Graduate,Urban,1
39,57264.23,13285.98,Self-Employed,Graduate,Semiurban,1
48,132879.74,10138.64,Employed,Graduate,Urban,1
31,48901.91,10968.15,Employed,Graduate,Semiurban,1
35,68555.32,23800.28,Self-Employed,Graduate,Semiurban,1
34,50651.89,8082.02,Employed,Graduate,Semiurban,1
23,47119.59,18495.49,Employed,Graduate,Rural,0
41,70801.16,11949.14,Employed,Graduate,Rural,1
41,43647.02,11945.33,Self-Employed,Graduate,Semiurban,1
38,54554.58,18327.33,Self-Employed,Not Graduate,Urban,1
36,55752.59,15306.31,Self-Employed,Graduate,Rural,1
24,37525.04,16785.07,Employed,Not Graduate,Urban,0
34,72898.03,19678.34,Self-Employed,Graduate,Rural,1
35,45707.43,11701.55,Self-Employed,Not Graduate,Urban,0
30,36232.14,10457.82,Self-Employed,Graduate,Urban,1
36,60754.96,8655.41,Employed,Graduate,Urban,1
42,34221.62,9603.05,Self-Employed,Graduate,Rural,0
57,49576.51,43461.8,Self-Employed,Graduate,Rural,1
40,48842.32,21979.64,Employed,Not Graduate,Urban,0
41,75686.74,7782.01,Employed,Graduate,Rural,0
37,59271.23,7871.6,Self-Employed,Graduate,Urban,1
21,48532.51,16199.67,Employed,Not Graduate,Rural,0
38,67989.36,16629.04,Unemployed,Not Graduate,Rural,0
39,85483.87,16639.81,Self-Employed,Graduate,Rural,1
63,61274.81,12064.44,Employed,Graduate,Semiurban,1
36,49224.22,12705.86,Employed,Graduate,Urban,1
41,29006.22,15231.97,Employed,Graduate,Semiurban,1
38,32014.83,13826.71,Unemployed,Graduate,Rural,0
26,43386.78,5498.77,Employed,Not Graduate,Rural,1
49,38414.69,12186.45,Self-Employed,Graduate,Rural,1
46,45488.35,9503.71,Employed,Graduate,Urban,1
46,50144.29,14329.63,Employed,Graduate,Rural,1
29,60589.51,44095.08,Employed,Not Graduate,Rural,0
52,47657.75,15475.18,Employed,Not Graduate,Urban,1
24,59551.73,11785.06,Unemployed,Graduate,Urban,1
44,50301.48,19316.61,Employed,Not Graduate,Urban,1
60,22243.68,16205.0,Employed,Graduate,Semiurban,1
28,33666.75,15804.31,Employed,Graduate,Rural,0
32,46275.36,17030.14,Employed,Graduate,Urban,1
39,30215.86,30412.76,Employed,Graduate,Urban,1
33,62315.88,8498.5,Self-Employed,Graduate,Rural,1
22,90427.2,16146.41,Employed,Not Graduate,Semiurban,1
39,79818.03,9222.93,Employed,Graduate,Urban,1
27,45009.23,16683.99,Employed,Not Graduate,Urban,1
43,88990.99,9251.36,Unemployed,Graduate,Semiurban,1
29,52024.34,11305.6,Employed,Graduate,Urban,1
53,42837.35,11872.31,Employed,Graduate,Urban,1
30,38354.95,19738.51,Self-Employed,Graduate,Semiurban,1
35,43434.62,19290.77,Employed,Graduate,Rural,0
46,41970.79,8116.98,Employed,Graduate,Urban,1
26,52478.9,13656.54,Employed,Graduate,Urban,1
40,52272.7,10058.45,Self-Employed,Graduate,Urban,1
51,49080.56,8075.56,Employed,Not Graduate,Urban,1
22,58382.72,12248.92,Self-Employed,Graduate,Semiurban,1
40,78925.41,11808.88,Employed,Graduate,Rural,1
41,71669.58,35266.42,Employed,Graduate,Semiurban,1
46,27066.2,15885.85,Employed,Not Graduate,Semiurban,0
26,17648.95,7699.83,Employed,Not Graduate,Rural,0
25,71234.17,10658.26,Self-Employed,Graduate,Urban,1
43,28374.57,20101.57,Employed,Graduate,Rural,0
41,44805.84,30803.3,Employed,Graduate,Semiurban,0
41,30698.06,7084.09,Employed,Not Graduate,Semiurban,1
41,23842.09,6298.27,Unemployed,Not Graduate,Urban,0
31,60875.44,28236.93,Employed,Graduate,Rural,1
40,66413.93,15612.79,Unemployed,Graduate,Rural,0
41,38925.15,9439.73,Employed,Graduate,Semiurban,0
31,17388.83,16545.21,Employed,Not Graduate,Urban,0
57,39399.26,4655.02,Employed,Graduate,Rural,1
43,57338.16,13377.78,Employed,Graduate,Semiurban,0
26,27131.08,15231.61,Employed,Graduate,Rural,1
45,52751.31,19335.69,Employed,Not Graduate,Rural,0
28,48721.52,8905.65,Unemployed,Not Graduate,Urban,0
46,61803.58,13825.57,Self-Employed,Not Graduate,Urban,1
50,51422.55,9226.45,Self-Employed,Graduate,Urban,1
30,33215.52,14796.61,Employed,Not Graduate,Semiurban,0
48,79112.69,9338.13,Employed,Graduate,Urban,1
42,46008.81,11347.58,Employed,Graduate,Rural,1
